text,class
RT @Sniffinair: All of my books in moody black &amp; white! @pegasuspublish @BNBuzz @Waterstones @WHSmith @b10track @AmazonUK @amazon Terry Ker…,negative
RT @elsotanodejoan: The whole unseen von Joan Llensa Do you dare to cross the line? https://t.co/w5QWm8iTX1 vía @amazon #garrotxa #book #be…,Neutral
"HOY GRATIS. 
LOS CRÍMENES DE LA CIUDAD LITERARIA  https://t.co/Ga0XvraJPl vía @amazon",Neutral
@AmazonHelp @amazon you should send more empty boxes to her to double her joy,positive
Peaceful Winter Christmas House Pop up Greeting Card/Christmas Card #christmascards #popupcardschristmas… https://t.co/uv1yiIavm2,positive
When ONE terrifically twisted tale of terror JUST ISN'T ENOUGH (but FOURTEEN would be one too many) - try THIRTEEN!… https://t.co/LUu9vy4ibO,Neutral
"Paris! London! and m…""",positive
Benny Bailey &amp; Phil Woods<U+300C>Big Brass &amp; Rights of Swing<U+300D> <U+3092> ¥1800 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/jM57nTqZK2,Neutral
RT @FDS_NaturallyMe: #RT FINAL DRAFT ELEMENTS OF SURPRISE #mustread #scifi and #fantasy  https://t.co/NRteygCYOo... via @amazon,Neutral
RT @BPiccoliSogni: Tegola Artistica | Arte da collezione La bottega dei Piccoli Sogni https://t.co/M3FVAfq6Pi di @amazon #ceramiche #sardeg…,Neutral
"RT @StephaneNicolin: @amazon Qui bloque ton compte pour « activité inhabituelle », et qui te demandent une facture dispo sur ton compte pou…",Neutral
"RT @montyjaxon1: BELIEVE ME! The Lost Treasure of the Templars
<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>
#Masonic #KnightsTemplar
‘So whoever drew up the chart seems to h…",Neutral
@reeses @amazon A THE REESES PEANUT BUTTER CUPS OF COURSE.... #notsorry. #Sweepstakes,Neutral
"RT @montyjaxon1: BELIEVE ME! The Lost Treasure of the Templars
<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>
#Masonic #KnightsTemplar
‘So whoever drew up the chart seems to h…",Neutral
RT @conservbytes: New book: 'The Effective Scientist' out now https://t.co/ftogFwEzhy #theeffectivescientist @CambridgeUP https://t.co/H5NC…,positive
"RT @KZ_Howell: Messages passed down through the centuries in legend and stone.
Technology left behind by ancient visitors. 
The line betwee…",Neutral
RT @gellimanikanth: I ordered Iphone 8 (64gb) but instead I received Iphone 6 (32gb). I am shocked that how can @amazon do such a mistake.…,negative
12% OFF #sale #save #playstation #PS4PRO #gaming #microsoft @amazon @microsoft Sony Playstation 4 Pro 1TB Gaming Sy… https://t.co/NDaLfbhbCI,Neutral
"33% OFF #sale #save #waterbottle #bottle @amazon Contigo Autospout Ashland Water Bottle, 24oz , Monaco https://t.co/oKelk6EVoJ",Neutral
"Check out this great deal on a set of PowerBlock Elite Dumbells by @PowerBlock_Inc
Perfect for your home gym!… https://t.co/T8IGKJBvPN",positive
@AmazonHelp terrible customer service this AM on something pre ordered two years ago. Amazon prime has no value pro… https://t.co/A7me5HA8sg,negative
@imsharmaatul @amazon @amazonIN @amazonIN are you out of mind. I think @imsharmaatul is right you lost business due… https://t.co/sCshKDMC3D,Neutral
RT @SMichaelDesigns: S.Michael Designs Diamond Pave Rectangle Pendant Necklace S.Michael Designs https://t.co/xl9jOLcw0I via @amazon,Neutral
RT @SMichaelDesigns: S.Michael Designs Artisan Crafted Silver Filigree Ring - SIZE 8 S.Michael Des... https://t.co/g7mjSaTSoL via @amazon,Neutral
@AmazonHelp @JeffBezos @amazonIN @amazon @amazonuk_kindle @AmazonUK  NO response yet?? Refund my money ASAP....,positive
RT @SMichaelDesigns: S.Michael Designs Stainless Steel Heart Dangling Earring S.Michael Designs https://t.co/yuaUKLE8YX via @amazon,positive
RT @SMichaelDesigns: S.Michael Designs Stainless Steel Multi Fringe Earrings S.Michael Designs https://t.co/K8hcFJXRcm via @amazon,positive
RT @SMichaelDesigns: S.Michael Designs Stainless Steel Crystal Drop Dangle Earrings S.Michael Desi... https://t.co/mevU7xYYvN via @amazon,positive
Is this true??? @PiratesOfAmazon @amazonIN @amazon https://t.co/5rqrLbrx6R,Neutral
RT @elsotanodejoan: The whole unseen von Joan Llensa Do you dare to cross the line? https://t.co/w5QWm8iTX1 vía @amazon #garrotxa #book #be…,Neutral
Rugrats - Phil - Plush Figure rugrats https://t.co/0TRXR2HtSS @amazon<U+304B><U+3089>,positive
@Ramsteinrig @intel @amazon i went with the K and the 212 in the end,Neutral
@ledell @chipro @MrMeritology @mark_riedl @IBMResearch @Microsoft @amazon @NvidiaAI @intel @Uber @DeepMindAI @Apple… https://t.co/fkFLl1fEqQ,Neutral
RT @flo_portier: @amazon @AmazonHelp ! Depuis quand passer une commande sur votre site est une activité suspecte ? Vous avez bloqué mon com…,Neutral
RT @latablablog: ComTrade es conocida por haber escrito el código de la aplicación de almacén robotizado de @Amazon y ahora además maneja l…,Neutral
"RT @IglesiasRondina: Seasons and the Fox: A Picture Book by M.C. Iglesias (Short Picture Books) 
 https://t.co/2HAKuOJ6Yt   via @amazon
#bo…",Neutral
"RT @IglesiasRondina: Alice's Adventures in Wonderland: With Original Illustrations by M.C. Iglesias 
 https://t.co/0qJDGrRgtw   via @amazon…",Neutral
"Please reply as soon as possible about the matter. @JeffBezos @amazon
@amazonIN @AmazonHelp",Neutral
"¿Una novela de vampiros? <U+0001F9DB><U+200D><U+2642><U+FE0F>
Legacy de @rotzemardini <U+2694><U+FE0F>
&gt;&gt;&gt; https://t.co/UBs2UAx8E2 
Disponible en todas las plata… https://t.co/693s2FBdw7",Neutral
RT @sandrayearman: Brother Kings ...The Warrior Series...Vol 1... by Sandra J Yearman https://t.co/JZWIp01HQW … via @amazon #series #fantas…,Neutral
"So @amazon still getting people to tweet in objection to their shitassery on twitter.

Good luck with that.",Neutral
The Froozen Choosen by Mr Timothy Allen Day https://t.co/9pzsGfzCSw via @amazon,Neutral
RT @readtiafanning: Now on #Amazon! Jayden's New Adventures (Jayden and Rylee) by Ilene Goff Kaufmann <U+0001F4DA> https://t.co/HD2afS1bl8 via @amazon…,Neutral
2018 Happy Halloween Ghost Eyes T-shirt celebrate Halloween Halloween Ghost E... https://t.co/cbSRIxVdWA via @amazon,positive
"RT @sharkkteethsolo: #SHARKKTEETHSOLO 
Of @WreklisRecords 
@symphonicdist 
@getdistribution 
@nine_oh_ 
@BCMUSICEVENTS 
@982thebeat 
@djkin…",Neutral
"<U+3053><U+3063><U+3061><U+304B>

Mile 22 [Blu-ray] Universal Pictures Home Entertainment https://t.co/3MeTjffuDA @amazon<U+304B><U+3089>",Neutral
"RT @AmazonEnLucha: Dígale adiós al éxito de ventas de @Amazon
<U+0001F4CC> El gigante del comercio electrónico es conocido por el crecimiento masivo d…",Neutral
Knights of Forever by Michael Walsh https://t.co/szFLikAenU via @amazon,Neutral
"There is no secret ingredient to 'life nourishment'. What is needed is all around us all the time like the wind, th… https://t.co/7LbcVTRF99",positive
The Calling (A Protector Book) by C. S. Lane https://t.co/SNp3XfOvct via @amazon,Neutral
"RT @AFMBeats: Purchase the Latest EP “Star Reflections” via @amazon

https://t.co/6OpveMkFTb

Also available for #streaming via @amazonmusi…",positive
"This is what I got @amazonIN @amazon @AmazonHelp ,Now I hope not shopping with u again... https://t.co/H1L95p901Y",Neutral
"RT @ZoeTasia: Blinked by Zari Reede https://t.co/gl8hmNxGrB via @amazon
In the mood for Mardi Gras, magic, and mayhem? Read Blinked!",positive
This is what I ordered @amazonIN  @amazon @AmazonHelp https://t.co/UC9IpHcRiU,Neutral
"@SPMiskowski @amazon And on the list it goes for the first of the month, since I've been glad for the time I've spe… https://t.co/rt6nf66hQb",positive
The Clockmaker's Son by Susan Buffum https://t.co/yxc8uIn5WR via @amazon,Neutral
"RT @DebraUllrick: <U+0093>Mystery, suspense, love and Christian values.<U+0094> FOREWARNED https://t.co/7YQSzo21ot #IAN1 #Bargainebook #indie @Amazon",Neutral
"Why is @amazon the No.1 e-commerce company?
Answer in the self explanatory image.
Thanks @amazonIN 
#honesty… https://t.co/ZzFJYr38Od",Neutral
RT @elsotanodejoan: The whole unseen von Joan Llensa Do you dare to cross the line? https://t.co/w5QWm8iTX1 vía @amazon #garrotxa #book #be…,Neutral
Dimitri Mitropoulos<U+300C>Mitropoulos Conducts Schonberg<U+300D> <U+3092> ¥1000 <U+3067>@amazon<U+304B><U+3089><U+51FA><U+54C1><U+3057><U+307E><U+3057><U+305F> https://t.co/rGB1iVKCES,Neutral
The Assignment by Lindsay Stenico https://t.co/ec6VIyAA04 via @amazon,Neutral
@ledell @chipro @MrMeritology @mark_riedl @IBMResearch @Microsoft @amazon @NvidiaAI @intel @Uber @DeepMindAI @Apple… https://t.co/3PaY9HMAc0,Neutral
How the Light gets In by Melissa Volker https://t.co/3QZKr2IjzF via @amazon,Neutral
"<U+0093>Mystery, suspense, love and Christian values.<U+0094> FOREWARNED https://t.co/7YQSzo21ot #IAN1 #Bargainebook #indie @Amazon",Neutral
RT @readtiafanning: Now on #Amazon! Jayden's New Adventures (Jayden and Rylee) by Ilene Goff Kaufmann <U+0001F4DA> https://t.co/HD2afS1bl8 via @amazon…,Neutral
"Orecchini viola con goccia bianca fatti a mano con perline di vetro, design t... https://t.co/1ZAXR0UzSe di @amazon",Neutral
I ordered one product from Amazon.. today is Delivery date. But delivery guy told me on phone you have to come 10km… https://t.co/JnRTInKDfE,Neutral
THREE SISTERS Table for Four: Short Story Collection by Judith Sessler https://t.co/5tDaMLyMc4 via @amazon,Neutral
Nathan: The Making of a Wizard (A Wizard's Tale Book 1) by Mike Walsh https://t.co/bAg19T1r3T via @amazon,Neutral
"RT @RonWyden: Widespread facial recognition is coming, but corporations like @amazon and government agencies don’t have protections in plac…",positive
<U+6A29><U+7530><U+306E><U+6B32><U+3057><U+3044><U+30EA><U+30B9><U+30C8> https://t.co/Q5L0DR5Fa9 @amazon<U+3055><U+3093><U+304B><U+3089>,Neutral
"Purchase the Latest EP “Star Reflections” via @amazon

https://t.co/6OpveMkFTb

Also available for #streaming via… https://t.co/GrTNY3CwY1",positive
RT @Boyace_Jajuan: Geaux to @amazon and download a copy of my book! Then tell me all about it! Read. Love. Comment. Share. https://t.co/B7a…,positive
